,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"rho[3, 171]",0.335,0.115,0.16,0.53,1243,832,1.00,0.0034,0.0021
"rho[3, 172]",0.364,0.098,0.2,0.53,1301,640,1.00,0.0027,0.002
"rho[3, 173]",0.08,0.026,0.044,0.13,1821,788,1.00,0.00063,0.00051
"rho[3, 174]",0.177,0.072,0.08,0.3,1212,675,1.00,0.0021,0.002
"rho[3, 175]",0.516,0.119,0.34,0.71,1395,761,1.00,0.0034,0.0028
"rho[3, 176]",0.223,0.072,0.12,0.35,1968,632,1.00,0.0017,0.0013
"rho[3, 177]",0.686,0.165,0.41,0.92,1299,875,1.00,0.0046,0.0026
"rho[3, 178]",0.727,0.128,0.5,0.91,771,721,1.00,0.0045,0.0032
"rho[3, 179]",0.483,0.105,0.32,0.65,1383,676,1.00,0.0029,0.0023
"rho[3, 180]",0.495,0.145,0.28,0.74,1567,776,1.00,0.0037,0.0026
"rho[3, 181]",0.302,0.072,0.2,0.42,1498,756,1.00,0.0019,0.0014
"rho[3, 182]",0.139,0.066,0.057,0.26,1683,850,1.00,0.0019,0.0016
"rho[3, 183]",0.455,0.101,0.29,0.61,1261,699,1.00,0.0029,0.0023
"rho[3, 184]",0.0201,0.016,0.0033,0.045,1557,536,1.00,0.00044,0.00075
"rho[3, 185]",0.455,0.118,0.27,0.65,1473,674,1.00,0.0031,0.0023
"rho[3, 186]",0.321,0.074,0.21,0.45,1820,731,1.00,0.0019,0.0015
"rho[3, 187]",0.097,0.04,0.043,0.16,1863,768,1.00,0.0011,0.0012
"rho[3, 188]",0.196,0.06,0.11,0.3,2507,784,1.00,0.0012,0.00087
"rho[3, 189]",0.751,0.086,0.62,0.89,1329,909,1.00,0.0025,0.0023
"rho[3, 190]",0.506,0.118,0.32,0.7,1248,629,1.00,0.0033,0.0021
"rho[3, 191]",0.162,0.06,0.083,0.27,2094,706,1.02,0.0014,0.0012
"rho[3, 192]",0.295,0.069,0.19,0.41,1835,705,1.01,0.0016,0.0012
"rho[3, 193]",0.592,0.095,0.44,0.74,936,643,1.00,0.0031,0.0025
"rho[3, 194]",0.209,0.053,0.13,0.3,2175,611,1.00,0.0012,0.00093
"rho[3, 195]",0.249,0.067,0.14,0.36,1846,914,1.00,0.0016,0.0013
"rho[3, 196]",0.613,0.114,0.43,0.79,937,712,1.00,0.0038,0.0028
"rho[3, 197]",0.298,0.104,0.14,0.48,1601,695,1.00,0.0025,0.0018
"rho[3, 198]",0.749,0.114,0.56,0.91,1002,711,1.00,0.0035,0.0033
"rho[3, 199]",0.79,0.144,0.51,0.96,881,723,1.00,0.0052,0.0043
"rho[3, 200]",0.576,0.144,0.35,0.8,1405,591,1.00,0.0038,0.0023
"rho[3, 201]",0.059,0.05,0.0097,0.15,2005,707,1.00,0.0012,0.0018
"rho[3, 202]",0.339,0.14,0.14,0.59,1503,633,1.00,0.0039,0.0031
"rho[3, 203]",0.684,0.065,0.58,0.79,1895,784,1.00,0.0015,0.0011
"rho[3, 204]",0.336,0.084,0.21,0.48,1810,876,1.00,0.002,0.0015
"rho[3, 205]",0.467,0.092,0.32,0.61,1365,799,1.01,0.0025,0.0017
"rho[3, 206]",0.66,0.187,0.3,0.91,1038,671,1.00,0.0056,0.0039
"rho[3, 207]",0.7,0.102,0.53,0.85,935,664,1.00,0.0033,0.0028
"rho[3, 208]",0.342,0.072,0.23,0.46,1552,713,1.00,0.0018,0.0013
"rho[3, 209]",0.398,0.104,0.24,0.58,837,382,1.00,0.0038,0.0025
"rho[3, 210]",0.383,0.081,0.25,0.52,1819,700,1.00,0.0019,0.0013
"rho[3, 211]",0.193,0.11,0.055,0.4,2134,772,1.01,0.0025,0.0022
"rho[3, 212]",0.69,0.185,0.35,0.94,823,604,1.00,0.0062,0.0037
"rho[3, 213]",0.71,0.173,0.39,0.94,1263,722,1.00,0.0052,0.0033
"rho[3, 214]",0.59,0.202,0.25,0.9,958,860,1.00,0.0065,0.0034
"rho[3, 215]",0.08,0.042,0.026,0.15,1682,902,1.00,0.0011,0.0012
"rho[3, 216]",0.68,0.152,0.39,0.89,828,685,1.01,0.0054,0.0043
"rho[3, 217]",0.317,0.077,0.2,0.44,2019,841,1.00,0.0017,0.0012
"rho[3, 218]",0.71,0.162,0.41,0.93,980,805,1.00,0.0052,0.0035
"rho[3, 219]",0.553,0.198,0.24,0.88,1618,541,1.00,0.0049,0.0028
"rho[3, 220]",0.347,0.108,0.17,0.52,978,636,1.00,0.0035,0.003
"rho[3, 221]",0.66,0.175,0.33,0.91,1006,804,1.00,0.0055,0.0035
"rho[3, 222]",0.178,0.055,0.095,0.27,1817,789,1.00,0.0013,0.00098
"rho[3, 223]",0.098,0.055,0.033,0.19,1359,788,1.00,0.0016,0.0019
"rho[3, 224]",0.83,0.13,0.57,0.97,556,504,1.00,0.0058,0.0078
"rho[3, 225]",0.252,0.097,0.12,0.43,1730,836,1.00,0.0025,0.0024
"rho[3, 226]",0.121,0.057,0.049,0.22,2548,829,1.00,0.0013,0.0014
"rho[3, 227]",0.265,0.112,0.11,0.47,1839,895,1.00,0.0028,0.0023
"rho[3, 228]",0.527,0.133,0.3,0.73,1025,699,1.00,0.0041,0.0028
"rho[3, 229]",0.333,0.097,0.18,0.48,1836,840,1.00,0.0023,0.0016
"rho[3, 230]",0.172,0.067,0.096,0.28,1251,804,1.00,0.0021,0.0039
"rho[3, 231]",0.06,0.027,0.027,0.11,1753,994,1.00,0.00079,0.001
"rho[3, 232]",0.2,0.081,0.092,0.33,1842,902,1.00,0.002,0.002
"rho[3, 233]",0.628,0.143,0.4,0.86,1424,728,1.00,0.0038,0.0023
"rho[3, 234]",0.172,0.072,0.076,0.31,1579,559,1.01,0.0021,0.0018
"rho[3, 235]",0.459,0.087,0.31,0.59,1481,713,1.00,0.0023,0.0017
"rho[3, 236]",0.045,0.026,0.015,0.092,1728,859,1.00,0.00065,0.00078
"rho[3, 237]",0.585,0.166,0.3,0.83,1538,793,1.00,0.0041,0.0025
"rho[3, 238]",0.312,0.066,0.2,0.42,1352,746,1.00,0.0018,0.0013
"rho[3, 239]",0.319,0.074,0.21,0.44,2988,907,1.00,0.0014,0.00096
"rho[3, 240]",0.326,0.061,0.23,0.43,1768,836,1.00,0.0015,0.00098
"rho[3, 241]",0.612,0.158,0.35,0.86,1669,746,1.00,0.0038,0.0023
"rho[3, 242]",0.4,0.202,0.13,0.77,1472,771,1.00,0.0054,0.0034
"rho[3, 243]",0.73,0.143,0.47,0.92,727,780,1.00,0.0052,0.0038
"omega[0, 0]",0.211,0.126,0.065,0.46,1084,663,1.00,0.0041,0.004
"omega[0, 1]",0.22,0.2,0.02,0.62,732,704,1.00,0.008,0.0058
"omega[0, 2]",0.62,0.23,0.086,0.9,801,240,1.01,0.012,0.0091
"omega[0, 3]",0.36,0.248,0.047,0.8,1173,791,1.00,0.0075,0.004
"omega[0, 4]",0.092,0.047,0.027,0.18,1338,643,1.00,0.0012,0.00097
"omega[0, 5]",0.049,0.033,0.01,0.11,1331,610,1.00,0.00088,0.00087
"omega[0, 6]",0.18,0.105,0.044,0.39,1274,609,1.00,0.0027,0.0024
"omega[0, 7]",0.49,0.231,0.12,0.85,1795,709,1.00,0.0057,0.003
"omega[0, 8]",0.094,0.083,0.015,0.26,1185,847,1.00,0.0026,0.0039
"omega[0, 9]",0.49,0.202,0.14,0.79,1249,573,1.00,0.0059,0.0035
"omega[0, 10]",0.33,0.212,0.062,0.71,1223,704,1.00,0.0059,0.0036
"omega[0, 11]",0.071,0.052,0.015,0.16,1386,880,1.00,0.0014,0.0018
"omega[0, 12]",0.153,0.129,0.019,0.4,851,845,1.00,0.0048,0.004
"omega[0, 13]",0.085,0.068,0.017,0.21,1050,689,1.00,0.0024,0.004
"omega[0, 14]",0.1,0.1,0.016,0.28,853,598,1.00,0.004,0.0071
"omega[0, 15]",0.3,0.169,0.089,0.62,2098,928,1.00,0.0042,0.0033
"omega[0, 16]",0.7,0.3,0.028,0.95,40,33,1.04,0.068,0.052
"omega[0, 17]",0.09,0.11,0.015,0.35,728,327,1.00,0.0055,0.0087
"omega[0, 18]",0.11,0.14,0.0068,0.39,552,630,1.00,0.0067,0.0052
"omega[0, 19]",0.065,0.046,0.014,0.14,1683,571,1.00,0.0011,0.0018
"omega[0, 20]",0.033,0.0203,0.0077,0.071,981,494,1.00,0.00053,0.00043
"omega[0, 21]",0.114,0.073,0.024,0.25,1136,643,1.00,0.0021,0.0019
"omega[0, 22]",0.068,0.035,0.019,0.13,1125,593,1.00,0.00099,0.00079
"omega[0, 23]",0.054,0.0279,0.016,0.1,2035,713,1.00,0.00057,0.00043
"omega[0, 24]",0.195,0.124,0.059,0.43,1357,699,1.00,0.0035,0.004
"omega[0, 25]",0.25,0.179,0.043,0.59,848,691,1.00,0.006,0.0045
"omega[0, 26]",0.099,0.058,0.028,0.2,1515,619,1.00,0.0015,0.0019
"omega[0, 27]",0.065,0.042,0.017,0.15,1312,783,1.00,0.0012,0.0012
"omega[0, 28]",0.074,0.037,0.023,0.14,1624,507,1.00,0.00085,0.00066
"omega[0, 29]",0.127,0.037,0.069,0.19,1839,599,1.00,0.00086,0.00063
"omega[0, 30]",0.112,0.09,0.028,0.26,1395,865,1.00,0.0027,0.0045
"omega[0, 31]",0.31,0.195,0.046,0.66,918,719,1.00,0.0064,0.0039
"omega[0, 32]",0.187,0.071,0.088,0.3,1301,826,1.00,0.002,0.002
"omega[0, 33]",0.099,0.11,0.014,0.35,877,641,1.00,0.004,0.0052
"omega[0, 34]",0.173,0.074,0.072,0.31,1503,926,1.00,0.0018,0.0014
"omega[0, 35]",0.054,0.037,0.011,0.12,1400,762,1.00,0.00095,0.00098
"omega[0, 36]",0.102,0.052,0.028,0.2,1133,581,1.01,0.0014,0.0012
"omega[0, 37]",0.079,0.045,0.02,0.16,2061,564,1.00,0.00094,0.00082
"omega[0, 38]",0.105,0.063,0.025,0.21,1633,702,1.00,0.0016,0.0016
"omega[0, 39]",0.436,0.159,0.17,0.68,1637,709,1.00,0.0041,0.0027
"omega[0, 40]",0.052,0.03,0.013,0.11,1412,594,1.00,0.00076,0.0006
"omega[0, 41]",0.684,0.17,0.38,0.92,1582,751,1.00,0.0041,0.0028
"omega[0, 42]",0.64,0.204,0.26,0.92,1718,709,1.00,0.0054,0.0037
"omega[0, 43]",0.38,0.226,0.056,0.78,848,606,1.00,0.0076,0.0047
"omega[0, 44]",0.21,0.164,0.022,0.51,906,820,1.00,0.0055,0.0041
"omega[0, 45]",0.046,0.029,0.01,0.099,1854,792,1.00,0.00071,0.00059
"omega[0, 46]",0.126,0.04,0.064,0.19,2242,948,1.00,0.00084,0.00065
"omega[0, 47]",0.33,0.212,0.06,0.71,841,708,1.00,0.0069,0.0039
"omega[0, 48]",0.074,0.08,0.012,0.18,759,605,1.00,0.004,0.0093
"omega[0, 49]",0.056,0.03,0.015,0.1,1074,406,1.00,0.00078,0.00062
"omega[0, 50]",0.087,0.045,0.025,0.16,1156,617,1.00,0.0013,0.0011
"omega[0, 51]",0.092,0.053,0.025,0.19,1459,638,1.00,0.0014,0.0012
"omega[0, 52]",0.153,0.085,0.05,0.3,1800,811,1.00,0.002,0.0021
"omega[0, 53]",0.179,0.052,0.097,0.26,1762,619,1.00,0.0012,0.00079
"omega[0, 54]",0.118,0.063,0.043,0.24,1588,789,1.00,0.0017,0.0019
"omega[0, 55]",0.337,0.058,0.25,0.43,2043,630,1.01,0.0013,0.00087
"omega[0, 56]",0.224,0.047,0.15,0.3,2200,657,1.00,0.001,0.00073
"omega[0, 57]",0.036,0.027,0.0068,0.085,1609,742,1.00,0.00069,0.00093
"omega[0, 58]",0.0341,0.0196,0.0088,0.069,1673,718,1.00,0.00045,0.00033
"omega[0, 59]",0.38,0.157,0.1,0.6,1009,544,1.00,0.005,0.0032
"omega[0, 60]",0.065,0.07,0.01,0.17,1017,765,1.00,0.0028,0.0062
"omega[0, 61]",0.21,0.154,0.033,0.52,960,727,1.00,0.0048,0.0039
"omega[0, 62]",0.25,0.192,0.032,0.65,1208,720,1.00,0.0059,0.0049
"omega[0, 63]",0.08,0.032,0.028,0.13,1406,413,1.00,0.00082,0.00057
"omega[0, 64]",0.081,0.034,0.031,0.14,985,331,1.01,0.00092,0.00064
"omega[0, 65]",0.14,0.18,0.011,0.54,518,573,1.01,0.009,0.01
"omega[0, 66]",0.43,0.25,0.068,0.86,994,699,1.00,0.008,0.004
"omega[0, 67]",0.081,0.034,0.03,0.14,1325,517,1.00,0.00088,0.00065
"omega[0, 68]",0.094,0.029,0.048,0.14,1512,670,1.00,0.00075,0.00053
"omega[0, 69]",0.542,0.081,0.41,0.68,3000,716,1.00,0.0015,0.00094
"omega[0, 70]",0.586,0.071,0.46,0.7,2381,766,1.00,0.0015,0.00097
"omega[0, 71]",0.28,0.203,0.033,0.66,861,831,1.00,0.0066,0.0043
"omega[0, 72]",0.34,0.229,0.04,0.74,899,615,1.00,0.0075,0.0044
"omega[0, 73]",0.106,0.0305,0.057,0.16,1799,682,1.01,0.00071,0.00047
"omega[0, 74]",0.34,0.226,0.052,0.75,998,745,1.00,0.0069,0.0039
"omega[0, 75]",0.172,0.141,0.03,0.46,1208,772,1.00,0.0046,0.0047
"omega[0, 76]",0.045,0.029,0.0097,0.097,1933,664,1.00,0.00064,0.00065
"omega[0, 77]",0.0342,0.0183,0.0081,0.066,1602,616,1.00,0.00042,0.00034
"omega[0, 78]",0.093,0.068,0.019,0.21,1238,803,1.00,0.0021,0.0036
"omega[0, 79]",0.068,0.03,0.023,0.12,1547,581,1.00,0.00065,0.0005
"omega[0, 80]",0.052,0.0271,0.015,0.1,2007,792,1.00,0.00056,0.0004
"omega[0, 81]",0.071,0.033,0.021,0.13,1387,539,1.01,0.00083,0.00064
"omega[0, 82]",0.2,0.18,0.018,0.53,993,815,1.00,0.0058,0.0047
"omega[0, 83]",0.342,0.094,0.2,0.5,1985,842,1.01,0.0021,0.0015
"omega[0, 84]",0.059,0.041,0.013,0.14,1355,710,1.00,0.0011,0.0013
"omega[0, 85]",0.095,0.057,0.025,0.2,1329,629,1.00,0.0015,0.0017
"omega[0, 86]",0.098,0.06,0.025,0.21,1339,677,1.00,0.0015,0.0014
"omega[0, 87]",0.059,0.034,0.015,0.12,1960,730,1.00,0.00075,0.0007
"omega[0, 88]",0.14,0.036,0.081,0.2,1736,575,1.00,0.00087,0.00059
"omega[0, 89]",0.0269,0.0166,0.0057,0.057,1703,448,1.00,0.00037,0.00038
"omega[0, 90]",0.054,0.0275,0.014,0.1,1763,730,1.00,0.00062,0.00047
"omega[0, 91]",0.691,0.116,0.5,0.86,1822,762,1.00,0.0029,0.0024
"omega[0, 92]",0.07,0.035,0.022,0.13,1434,667,1.00,0.00083,0.00066
"omega[0, 93]",0.05,0.032,0.011,0.11,1144,494,1.00,0.00079,0.00093
"omega[0, 94]",0.26,0.166,0.044,0.57,899,750,1.00,0.0055,0.004
"omega[0, 95]",0.042,0.029,0.0083,0.094,1561,837,1.00,0.00072,0.00075
"omega[0, 96]",0.06,0.042,0.013,0.14,2073,722,1.00,0.00091,0.0012
"omega[0, 97]",0.088,0.032,0.038,0.14,1414,597,1.00,0.0008,0.00055
"omega[0, 98]",0.044,0.032,0.0071,0.1,1378,639,1.00,0.00079,0.00087
"omega[0, 99]",0.088,0.043,0.025,0.16,1532,562,1.01,0.001,0.00075
"omega[0, 100]",0.104,0.057,0.032,0.2,1528,557,1.00,0.0014,0.0018
"omega[0, 101]",0.428,0.125,0.24,0.63,986,596,1.00,0.004,0.0033
"omega[0, 102]",0.09,0.053,0.024,0.19,1716,716,1.00,0.0013,0.0012
"omega[0, 103]",0.42,0.22,0.15,0.87,865,611,1.00,0.0095,0.0059
"omega[0, 104]",0.122,0.048,0.048,0.2,1450,617,1.00,0.0012,0.0011
"omega[0, 105]",0.08,0.052,0.016,0.17,1197,673,1.00,0.0014,0.0016
"omega[0, 106]",0.053,0.034,0.013,0.12,1653,857,1.01,0.00086,0.00095
"omega[0, 107]",0.095,0.047,0.032,0.18,1174,616,1.00,0.0013,0.0012
"omega[0, 108]",0.093,0.066,0.021,0.2,1251,703,1.01,0.002,0.0031
"omega[0, 109]",0.095,0.061,0.021,0.2,1359,614,1.01,0.0016,0.0018
"omega[0, 110]",0.117,0.067,0.031,0.23,1092,458,1.00,0.0019,0.0019
"omega[0, 111]",0.067,0.049,0.015,0.16,1151,765,1.00,0.0015,0.0023
"omega[0, 112]",0.37,0.192,0.08,0.7,1246,641,1.01,0.0054,0.0034
"omega[0, 113]",0.209,0.137,0.047,0.47,1219,870,1.00,0.004,0.0034
"omega[0, 114]",0.07,0.08,0.011,0.19,796,578,1.00,0.0042,0.0094
"omega[0, 115]",0.48,0.249,0.084,0.86,1295,748,1.00,0.0067,0.0032
"omega[0, 116]",0.043,0.029,0.0076,0.095,1548,466,1.00,0.0007,0.00065
"omega[0, 117]",0.146,0.084,0.047,0.3,1221,690,1.00,0.0023,0.0024
"omega[0, 118]",0.06,0.031,0.017,0.11,1301,539,1.00,0.00079,0.0006
"omega[0, 119]",0.106,0.034,0.053,0.16,813,466,1.00,0.0012,0.00096
"omega[0, 120]",0.173,0.126,0.027,0.41,1145,741,1.00,0.0036,0.0031
"omega[0, 121]",0.147,0.054,0.061,0.24,1546,617,1.01,0.0013,0.00091
"omega[0, 122]",0.0417,0.0227,0.011,0.081,1790,559,1.00,0.00043,0.00034
"omega[0, 123]",0.072,0.052,0.014,0.17,1713,749,1.00,0.0014,0.0017
"omega[0, 124]",0.22,0.101,0.087,0.41,1401,883,1.00,0.0027,0.0022
"omega[0, 125]",0.038,0.023,0.0087,0.079,1298,604,1.01,0.0006,0.00058
"omega[0, 126]",0.093,0.054,0.025,0.19,997,579,1.00,0.0016,0.0019
"omega[0, 127]",0.079,0.044,0.023,0.15,1070,750,1.00,0.0013,0.0015
"omega[0, 128]",0.088,0.058,0.02,0.2,1391,786,1.00,0.0015,0.002
"omega[0, 129]",0.108,0.04,0.044,0.17,1245,587,1.00,0.0011,0.00077
"omega[0, 130]",0.108,0.043,0.042,0.18,1601,690,1.00,0.001,0.00068
"omega[0, 131]",0.23,0.042,0.17,0.29,2098,708,1.00,0.00092,0.00063
"omega[0, 132]",0.134,0.056,0.053,0.23,1255,595,1.00,0.0014,0.0011
"omega[0, 133]",0.16,0.061,0.07,0.27,2069,641,1.00,0.0013,0.00093
"omega[0, 134]",0.054,0.031,0.013,0.11,1404,662,1.00,0.00078,0.00064
"omega[0, 135]",0.063,0.07,0.01,0.17,1304,759,1.01,0.0028,0.0074
"omega[0, 136]",0.057,0.0306,0.014,0.11,1580,648,1.01,0.00068,0.00047
"omega[0, 137]",0.062,0.0311,0.017,0.12,2346,650,1.00,0.00059,0.00041
"omega[0, 138]",0.042,0.0231,0.012,0.085,1620,593,1.00,0.00053,0.00038
"omega[0, 139]",0.31,0.169,0.07,0.59,1010,762,1.00,0.0053,0.0033
"omega[0, 140]",0.109,0.034,0.056,0.16,2153,624,1.00,0.00071,0.00052
"omega[0, 141]",0.105,0.044,0.041,0.18,1487,687,1.01,0.0011,0.00085
"omega[0, 142]",0.076,0.049,0.02,0.16,1462,757,1.00,0.0013,0.0018
"omega[0, 143]",0.43,0.193,0.12,0.75,1289,685,1.00,0.0053,0.0031
"omega[0, 144]",0.109,0.04,0.049,0.18,1439,653,1.00,0.00098,0.00075
"omega[0, 145]",0.081,0.06,0.016,0.18,1448,886,1.00,0.0017,0.0027
"omega[0, 146]",0.045,0.027,0.0099,0.097,1010,518,1.00,0.00078,0.0006
"omega[0, 147]",0.051,0.033,0.011,0.11,1459,642,1.00,0.00079,0.00089
"omega[0, 148]",0.11,0.13,0.012,0.4,791,467,1.00,0.0059,0.0079
"omega[0, 149]",0.0233,0.0149,0.005,0.052,1845,570,1.00,0.00031,0.00025
"omega[0, 150]",0.21,0.19,0.031,0.61,929,762,1.00,0.0061,0.0058
"omega[0, 151]",0.088,0.042,0.026,0.16,1251,367,1.00,0.0011,0.00082
"omega[0, 152]",0.124,0.066,0.04,0.24,996,591,1.00,0.002,0.0021
"omega[0, 153]",0.037,0.0205,0.0092,0.075,1357,717,1.00,0.00052,0.00039
"omega[0, 154]",0.48,0.196,0.17,0.81,1438,713,1.00,0.0053,0.0031
"omega[0, 155]",0.043,0.029,0.0092,0.094,1676,633,1.00,0.0007,0.00069
"omega[0, 156]",0.054,0.032,0.012,0.11,1136,590,1.00,0.00089,0.00093
"omega[0, 157]",0.161,0.063,0.073,0.27,1359,857,1.00,0.0017,0.0015
"omega[0, 158]",0.421,0.131,0.2,0.62,2111,826,1.00,0.003,0.0018
"omega[0, 159]",0.15,0.086,0.047,0.31,1263,895,1.00,0.0025,0.0025
"omega[0, 160]",0.066,0.044,0.015,0.15,1127,594,1.00,0.0012,0.0014
"omega[0, 161]",0.099,0.048,0.03,0.18,1141,662,1.00,0.0014,0.0012
"omega[0, 162]",0.123,0.109,0.015,0.35,1151,693,1.00,0.0031,0.0029
"omega[0, 163]",0.301,0.173,0.065,0.6,1118,702,1.00,0.0049,0.0033
"omega[0, 164]",0.055,0.035,0.014,0.12,1661,768,1.00,0.00088,0.0014
"omega[0, 165]",0.187,0.075,0.081,0.32,1403,721,1.00,0.002,0.0019
"omega[0, 166]",0.3,0.168,0.068,0.58,826,669,1.00,0.0059,0.004
"omega[0, 167]",0.35,0.107,0.2,0.54,1930,748,1.00,0.0025,0.0019
"omega[0, 168]",0.124,0.11,0.019,0.33,909,745,1.00,0.0047,0.0059
"omega[0, 169]",0.095,0.088,0.016,0.28,1047,700,1.00,0.0031,0.0042
"omega[0, 170]",0.127,0.107,0.015,0.34,994,845,1.00,0.0034,0.003
"omega[0, 171]",0.27,0.2,0.053,0.67,979,872,1.00,0.0064,0.0055
"omega[0, 172]",0.26,0.24,0.018,0.72,568,718,1.00,0.01,0.0069
"omega[0, 173]",0.036,0.05,0.0073,0.078,1539,763,1.01,0.0024,0.017
"omega[0, 174]",0.27,0.177,0.055,0.59,1213,966,1.00,0.005,0.0032
"omega[0, 175]",0.054,0.038,0.012,0.12,1827,717,1.00,0.00097,0.0013
"omega[0, 176]",0.095,0.051,0.024,0.18,1336,775,1.01,0.0014,0.0011
"omega[0, 177]",0.604,0.113,0.43,0.78,1546,686,1.00,0.0028,0.0023
"omega[0, 178]",0.616,0.15,0.38,0.86,1931,840,1.00,0.0034,0.0022
"omega[0, 179]",0.069,0.047,0.013,0.15,1403,580,1.00,0.0013,0.0017
"omega[0, 180]",0.138,0.066,0.05,0.25,1546,684,1.00,0.0016,0.002
"omega[0, 181]",0.151,0.12,0.03,0.38,934,561,1.00,0.0041,0.0056
"omega[0, 182]",0.04,0.0234,0.0094,0.082,1827,678,1.00,0.0005,0.00042
"omega[0, 183]",0.221,0.103,0.086,0.41,1209,830,1.00,0.0029,0.0024
"omega[0, 184]",0.053,0.032,0.012,0.11,1496,579,1.00,0.0007,0.00057
"omega[0, 185]",0.5,0.202,0.14,0.79,1714,855,1.00,0.005,0.0028
"omega[0, 186]",0.225,0.167,0.036,0.56,1507,738,1.00,0.0049,0.0044
"omega[0, 187]",0.134,0.047,0.061,0.21,1895,791,1.00,0.001,0.00081
"omega[0, 188]",0.193,0.103,0.064,0.38,1267,937,1.00,0.003,0.0028
"omega[0, 189]",0.123,0.13,0.016,0.41,893,761,1.00,0.0049,0.0068
"omega[0, 190]",0.143,0.084,0.042,0.29,1489,804,1.00,0.0023,0.0027
"omega[0, 191]",0.091,0.045,0.028,0.17,1774,535,1.00,0.00094,0.00073
"omega[0, 192]",0.0311,0.0184,0.0074,0.066,1392,586,1.00,0.00044,0.00035
"omega[0, 193]",0.063,0.049,0.011,0.15,2032,735,1.00,0.0011,0.0018
"omega[0, 194]",0.15,0.088,0.043,0.32,1065,606,1.00,0.0026,0.0025
"omega[0, 195]",0.36,0.246,0.035,0.77,688,524,1.00,0.009,0.0046
"omega[0, 196]",0.095,0.049,0.03,0.18,1145,609,1.00,0.0014,0.0012
"omega[0, 197]",0.079,0.04,0.021,0.15,1515,457,1.00,0.00095,0.0007
"omega[0, 198]",0.056,0.028,0.016,0.1,1175,711,1.00,0.00078,0.00059
"omega[0, 199]",0.125,0.098,0.023,0.33,1218,900,1.00,0.0031,0.0032
"omega[0, 200]",0.47,0.206,0.15,0.83,1307,741,1.00,0.0056,0.0032
"omega[0, 201]",0.144,0.041,0.08,0.21,1963,730,1.01,0.00092,0.0006
"omega[0, 202]",0.052,0.026,0.013,0.097,1077,638,1.01,0.00072,0.00053
"omega[0, 203]",0.109,0.12,0.012,0.35,1061,902,1.01,0.0042,0.0053
"omega[0, 204]",0.32,0.172,0.068,0.61,945,761,1.00,0.0055,0.0032
"omega[0, 205]",0.165,0.13,0.026,0.42,853,695,1.00,0.0047,0.0051
"omega[0, 206]",0.077,0.033,0.026,0.14,1189,538,1.01,0.0009,0.0006
"omega[0, 207]",0.302,0.167,0.069,0.59,1415,706,1.00,0.0043,0.0033
"omega[0, 208]",0.19,0.16,0.023,0.52,1116,757,1.00,0.0052,0.0053
"omega[0, 209]",0.16,0.13,0.03,0.43,734,625,1.00,0.0052,0.0069
"omega[0, 210]",0.24,0.19,0.029,0.64,1108,741,1.00,0.0059,0.0052
"omega[0, 211]",0.196,0.07,0.091,0.31,1782,560,1.00,0.0016,0.0013
"omega[0, 212]",0.32,0.198,0.046,0.66,1198,669,1.00,0.0056,0.0036
"omega[0, 213]",0.35,0.198,0.082,0.71,1257,947,1.00,0.0059,0.0034
"omega[0, 214]",0.1,0.071,0.021,0.24,1211,752,1.00,0.002,0.0023
"omega[0, 215]",0.114,0.039,0.054,0.18,1240,518,1.00,0.0011,0.00074
"omega[0, 216]",0.294,0.142,0.074,0.53,1861,829,1.00,0.0035,0.0022
"omega[0, 217]",0.14,0.048,0.067,0.22,1384,551,1.00,0.0012,0.00091
"omega[0, 218]",0.57,0.209,0.22,0.88,1444,694,1.01,0.0053,0.0031
"omega[0, 219]",0.31,0.113,0.15,0.5,2061,775,1.01,0.0026,0.0018
"omega[0, 220]",0.072,0.037,0.021,0.14,2109,429,1.00,0.00071,0.00057
"omega[0, 221]",0.084,0.05,0.019,0.17,1679,607,1.00,0.0011,0.0011
"omega[0, 222]",0.06,0.036,0.013,0.13,1548,726,1.00,0.00089,0.00088
"omega[0, 223]",0.3,0.1,0.19,0.43,743,501,1.00,0.0057,0.0098
"omega[0, 224]",0.031,0.0212,0.0062,0.071,1292,663,1.00,0.00051,0.00048
"omega[0, 225]",0.134,0.042,0.068,0.2,1326,626,1.00,0.0011,0.00075
"omega[0, 226]",0.095,0.047,0.027,0.18,1026,365,1.01,0.0012,0.00083
"omega[0, 227]",0.132,0.047,0.057,0.21,1347,570,1.00,0.0012,0.00088
"omega[0, 228]",0.114,0.077,0.025,0.25,1285,785,1.00,0.002,0.0023
"omega[0, 229]",0.46,0.255,0.11,0.89,1462,779,1.00,0.0071,0.0035
"omega[0, 230]",0.077,0.035,0.027,0.14,1236,619,1.00,0.00089,0.00071
"omega[0, 231]",0.09,0.12,0.011,0.29,875,531,1.00,0.005,0.011
"omega[0, 232]",0.162,0.069,0.067,0.28,1654,717,1.00,0.0018,0.0014
"omega[0, 233]",0.179,0.129,0.038,0.45,1057,764,1.00,0.0046,0.0041
"omega[0, 234]",0.051,0.03,0.012,0.11,1253,716,1.01,0.00081,0.00072
"omega[0, 235]",0.085,0.1,0.016,0.21,1105,799,1.00,0.0036,0.0094
"omega[0, 236]",0.032,0.0199,0.007,0.066,1358,662,1.00,0.00049,0.00043
"omega[0, 237]",0.148,0.081,0.042,0.3,1254,567,1.00,0.0022,0.002
