,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"rho[2, 79]",0.343,0.066,0.25,0.46,1404,849,1.00,0.0018,0.0016
"rho[2, 80]",0.05,0.034,0.012,0.11,1883,772,1.00,0.00093,0.002
"rho[2, 81]",0.608,0.16,0.32,0.85,1188,685,1.00,0.0047,0.0031
"rho[2, 82]",0.745,0.137,0.48,0.92,1004,772,1.00,0.0041,0.0035
"rho[2, 83]",0.523,0.09,0.39,0.66,1386,809,1.00,0.0024,0.0017
"rho[2, 84]",0.733,0.141,0.48,0.92,1126,711,1.00,0.0043,0.0032
"rho[2, 85]",0.727,0.151,0.44,0.93,1178,767,1.01,0.0045,0.0034
"rho[2, 86]",0.64,0.204,0.3,0.93,1044,788,1.00,0.0063,0.0034
"rho[2, 87]",0.615,0.07,0.51,0.73,1997,848,1.00,0.0016,0.0011
"rho[2, 88]",0.063,0.043,0.015,0.15,1909,831,1.00,0.001,0.001
"rho[2, 89]",0.285,0.067,0.18,0.4,1898,797,1.00,0.0015,0.0012
"rho[2, 90]",0.346,0.116,0.17,0.54,819,657,1.00,0.0042,0.0028
"rho[2, 91]",0.921,0.057,0.83,0.98,774,567,1.00,0.0025,0.0047
"rho[2, 92]",0.48,0.124,0.3,0.68,1208,720,1.00,0.0036,0.003
"rho[2, 93]",0.312,0.071,0.2,0.43,1314,768,1.00,0.0019,0.0015
"rho[2, 94]",0.804,0.131,0.56,0.96,739,687,1.00,0.0049,0.0038
"rho[2, 95]",0.635,0.17,0.35,0.9,1356,833,1.00,0.0046,0.0026
"rho[2, 96]",0.73,0.173,0.4,0.96,902,585,1.00,0.0062,0.0042
"rho[2, 97]",0.495,0.109,0.34,0.68,1518,814,1.00,0.003,0.0023
"rho[2, 98]",0.726,0.151,0.46,0.94,1193,599,1.00,0.0045,0.0028
"rho[2, 99]",0.76,0.17,0.45,0.95,716,630,1.00,0.0064,0.0053
"rho[2, 100]",0.917,0.07,0.82,0.98,661,488,1.00,0.0043,0.011
"rho[2, 101]",0.808,0.135,0.55,0.97,1271,730,1.00,0.0039,0.0032
"rho[2, 102]",0.8,0.16,0.44,0.96,717,591,1.00,0.0066,0.0059
